Epoch 1/60, Train Loss: 10.2487, Test Loss: 8.4812
Epoch 2/60, Train Loss: 7.9961, Test Loss: 7.3938
Epoch 3/60, Train Loss: 7.1455, Test Loss: 6.7408
Epoch 4/60, Train Loss: 6.5432, Test Loss: 6.2607
Epoch 5/60, Train Loss: 6.0706, Test Loss: 5.8936
Epoch 6/60, Train Loss: 5.6747, Test Loss: 5.5711
Epoch 7/60, Train Loss: 5.3357, Test Loss: 5.3170
Epoch 8/60, Train Loss: 5.0391, Test Loss: 5.0892
Epoch 9/60, Train Loss: 4.7761, Test Loss: 4.8846
Epoch 10/60, Train Loss: 4.5432, Test Loss: 4.7192
Epoch 11/60, Train Loss: 4.2039, Test Loss: 4.5413
Epoch 12/60, Train Loss: 4.1289, Test Loss: 4.4973
Epoch 13/60, Train Loss: 4.0840, Test Loss: 4.4638
Epoch 14/60, Train Loss: 4.0462, Test Loss: 4.4330
Epoch 15/60, Train Loss: 4.0109, Test Loss: 4.4068
Epoch 16/60, Train Loss: 3.9802, Test Loss: 4.3808
Epoch 17/60, Train Loss: 3.9504, Test Loss: 4.3566
Epoch 18/60, Train Loss: 3.9204, Test Loss: 4.3322
Epoch 19/60, Train Loss: 3.8928, Test Loss: 4.3101
Epoch 20/60, Train Loss: 3.8652, Test Loss: 4.2874
Epoch 21/60, Train Loss: 3.8298, Test Loss: 4.2786
Epoch 22/60, Train Loss: 3.8228, Test Loss: 4.2748
Epoch 23/60, Train Loss: 3.8185, Test Loss: 4.2714
Epoch 24/60, Train Loss: 3.8155, Test Loss: 4.2690
Epoch 25/60, Train Loss: 3.8122, Test Loss: 4.2659
Epoch 26/60, Train Loss: 3.8090, Test Loss: 4.2638
Epoch 27/60, Train Loss: 3.8058, Test Loss: 4.2609
Epoch 28/60, Train Loss: 3.8029, Test Loss: 4.2584
Epoch 29/60, Train Loss: 3.8007, Test Loss: 4.2556
Epoch 30/60, Train Loss: 3.7979, Test Loss: 4.2536
Epoch 31/60, Train Loss: 3.7937, Test Loss: 4.2529
Epoch 32/60, Train Loss: 3.7936, Test Loss: 4.2528
Epoch 33/60, Train Loss: 3.7921, Test Loss: 4.2524
Epoch 34/60, Train Loss: 3.7922, Test Loss: 4.2522
Epoch 35/60, Train Loss: 3.7918, Test Loss: 4.2519
Epoch 36/60, Train Loss: 3.7923, Test Loss: 4.2517
Epoch 37/60, Train Loss: 3.7919, Test Loss: 4.2514
Epoch 38/60, Train Loss: 3.7923, Test Loss: 4.2512
Epoch 39/60, Train Loss: 3.7909, Test Loss: 4.2508
Epoch 40/60, Train Loss: 3.7902, Test Loss: 4.2506
Epoch 41/60, Train Loss: 3.7903, Test Loss: 4.2505
Epoch 42/60, Train Loss: 3.7904, Test Loss: 4.2505
Epoch 43/60, Train Loss: 3.7904, Test Loss: 4.2505
Epoch 44/60, Train Loss: 3.7904, Test Loss: 4.2505
Epoch 45/60, Train Loss: 3.7912, Test Loss: 4.2504
Epoch 46/60, Train Loss: 3.7898, Test Loss: 4.2504
Epoch 47/60, Train Loss: 3.7897, Test Loss: 4.2504
Epoch 48/60, Train Loss: 3.7897, Test Loss: 4.2504
Epoch 49/60, Train Loss: 3.7900, Test Loss: 4.2503
Epoch 50/60, Train Loss: 3.7903, Test Loss: 4.2503
Epoch 51/60, Train Loss: 3.7905, Test Loss: 4.2503
Epoch 52/60, Train Loss: 3.7900, Test Loss: 4.2503
Epoch 53/60, Train Loss: 3.7899, Test Loss: 4.2503
Epoch 54/60, Train Loss: 3.7909, Test Loss: 4.2503
Epoch 55/60, Train Loss: 3.7890, Test Loss: 4.2503
Epoch 56/60, Train Loss: 3.7892, Test Loss: 4.2503
Epoch 57/60, Train Loss: 3.7896, Test Loss: 4.2503
Epoch 58/60, Train Loss: 3.7905, Test Loss: 4.2503
Epoch 59/60, Train Loss: 3.7897, Test Loss: 4.2503
Epoch 60/60, Train Loss: 3.7905, Test Loss: 4.2503
