Epoch 1/60, Train Loss: 6.9551, Test Loss: 4.9508
Epoch 2/60, Train Loss: 4.6287, Test Loss: 4.3110
Epoch 3/60, Train Loss: 4.1747, Test Loss: 4.0535
Epoch 4/60, Train Loss: 4.0422, Test Loss: 3.9663
Epoch 5/60, Train Loss: 3.8571, Test Loss: 3.8480
Epoch 6/60, Train Loss: 3.7564, Test Loss: 3.7794
Epoch 7/60, Train Loss: 3.6854, Test Loss: 3.7418
Epoch 8/60, Train Loss: 3.6240, Test Loss: 3.6779
Epoch 9/60, Train Loss: 3.5718, Test Loss: 3.6357
Epoch 10/60, Train Loss: 3.5211, Test Loss: 3.5998
Epoch 11/60, Train Loss: 3.4193, Test Loss: 3.5220
Epoch 12/60, Train Loss: 3.3966, Test Loss: 3.5090
Epoch 13/60, Train Loss: 3.3843, Test Loss: 3.5001
Epoch 14/60, Train Loss: 3.3205, Test Loss: 3.4086
Epoch 15/60, Train Loss: 3.2838, Test Loss: 3.3979
Epoch 16/60, Train Loss: 3.2747, Test Loss: 3.3910
Epoch 17/60, Train Loss: 3.2653, Test Loss: 3.4031
Epoch 18/60, Train Loss: 3.2594, Test Loss: 3.3786
Epoch 19/60, Train Loss: 3.2504, Test Loss: 3.3716
Epoch 20/60, Train Loss: 3.2607, Test Loss: 3.3805
Epoch 21/60, Train Loss: 3.2487, Test Loss: 3.3760
Epoch 22/60, Train Loss: 3.2442, Test Loss: 3.3723
Epoch 23/60, Train Loss: 3.2411, Test Loss: 3.3697
Epoch 24/60, Train Loss: 3.2381, Test Loss: 3.3677
Epoch 25/60, Train Loss: 3.2359, Test Loss: 3.3659
Epoch 26/60, Train Loss: 3.2342, Test Loss: 3.3642
Epoch 27/60, Train Loss: 3.2322, Test Loss: 3.3629
Epoch 28/60, Train Loss: 3.2310, Test Loss: 3.3619
Epoch 29/60, Train Loss: 3.2297, Test Loss: 3.3607
Epoch 30/60, Train Loss: 3.2283, Test Loss: 3.3594
Epoch 31/60, Train Loss: 3.2270, Test Loss: 3.3592
Epoch 32/60, Train Loss: 3.2269, Test Loss: 3.3591
Epoch 33/60, Train Loss: 3.2267, Test Loss: 3.3589
Epoch 34/60, Train Loss: 3.2266, Test Loss: 3.3589
Epoch 35/60, Train Loss: 3.2269, Test Loss: 3.3588
Epoch 36/60, Train Loss: 3.2264, Test Loss: 3.3587
Epoch 37/60, Train Loss: 3.2260, Test Loss: 3.3586
Epoch 38/60, Train Loss: 3.2260, Test Loss: 3.3585
Epoch 39/60, Train Loss: 3.2260, Test Loss: 3.3584
Epoch 40/60, Train Loss: 3.2259, Test Loss: 3.3583
Epoch 41/60, Train Loss: 3.2257, Test Loss: 3.3583
Epoch 42/60, Train Loss: 3.2258, Test Loss: 3.3583
Epoch 43/60, Train Loss: 3.2262, Test Loss: 3.3583
Epoch 44/60, Train Loss: 3.2258, Test Loss: 3.3583
Epoch 45/60, Train Loss: 3.2257, Test Loss: 3.3583
Epoch 46/60, Train Loss: 3.2260, Test Loss: 3.3582
Epoch 47/60, Train Loss: 3.2252, Test Loss: 3.3582
Epoch 48/60, Train Loss: 3.2257, Test Loss: 3.3582
Epoch 49/60, Train Loss: 3.2258, Test Loss: 3.3582
Epoch 50/60, Train Loss: 3.2253, Test Loss: 3.3582
Epoch 51/60, Train Loss: 3.2259, Test Loss: 3.3582
Epoch 52/60, Train Loss: 3.2257, Test Loss: 3.3582
Epoch 53/60, Train Loss: 3.2258, Test Loss: 3.3582
Epoch 54/60, Train Loss: 3.2259, Test Loss: 3.3582
Epoch 55/60, Train Loss: 3.2259, Test Loss: 3.3582
Epoch 56/60, Train Loss: 3.2255, Test Loss: 3.3582
Epoch 57/60, Train Loss: 3.2260, Test Loss: 3.3582
Epoch 58/60, Train Loss: 3.2256, Test Loss: 3.3582
Epoch 59/60, Train Loss: 3.2256, Test Loss: 3.3582
Epoch 60/60, Train Loss: 3.2259, Test Loss: 3.3582
